date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:36	2834/2834	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202018%2012:48:57%20GMT	https://colorlib.com/preview/	C:/My%20Web%20Sites/website3/colorlib.com/preview/index.html	(from )
16:23:36	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
16:23:37	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225a803968-1d970%22	https://colorlib.com/preview/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/css/bootstrap.min.css	(from https://colorlib.com/preview/)
16:23:37	7031/7031	---MCZ	200	added ('OK')	text/css	etag:W/%225a803d46-2404%22	https://colorlib.com/preview/assets/css/template.css	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/css/template.css	(from https://colorlib.com/preview/)
16:23:38	27232/27232	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-6a60%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.css	C:/My%20Web%20Sites/website3/cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.css	(from https://colorlib.com/preview/)
16:23:38	3713/3713	---M--	200	added ('OK')	image/png	etag:%225a803c8d-158a%22	https://colorlib.com/preview/assets/img/logo.png	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/img/logo.png	(from https://colorlib.com/preview/)
16:23:40	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dfa05cc-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/website3/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/)
16:23:41	145466/145466	---MCZ	200	added ('OK')	application/javascript	etag:W/%225decd345-2bd60%22	https://colorlib.com/preview/assets/js/products.js	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/js/products.js	(from https://colorlib.com/preview/)
16:23:46	68912/68912	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a80317e-10d30%22	https://colorlib.com/preview/assets/js/application.min.js	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/js/application.min.js	(from https://colorlib.com/preview/)
16:23:46	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:45%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.eot	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
16:23:47	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:46%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
16:23:48	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/website3/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://colorlib.com/preview/)
16:23:48	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:47%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.woff2	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
16:23:49	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:48%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.woff	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
16:23:50	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:49%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.ttf	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
16:23:51	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Dec%202019%2010:53:50%20GMT	https://colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/website3/colorlib.com/preview/assets/fonts/glyphicons-halflings-regular.svg	(from https://colorlib.com/preview/assets/css/bootstrap.min.css)
